Nota;Instituição;Pública ou Privada;Estado;Inicio incrição;Fim inscrição;Início isenção ;Fim isenção;Primiera fase;Primeira fase (segundo dia);Segunda fase;Segunda fase (segundo dia);Resultado;link site;metadados;Posição em Ensino;Posição em Pesquisa;Posição em Mercado;Posição em Inovação;Nota em Inovação;Posição em Internacionalização;Extrator
1;USP;Estadual;SP;16/08/2021;01/10/2021;14/06/2021;07/08/2021;12/12/2021;;16/01/2022;;11/02/2022;https://www.fuvest.br/wp-content/uploads/fuvest2022_manual_20210804.pdf;;4;1;1;7;3.46;2;
2;UNICAMP;Estadual;SP;02/09/2021;08/09/2021;30/07/2021;02/08/2021;07/11/2021;;09/01/2022;;10/03/2022;https://www.comvest.unicamp.br/publicado-o-edital-da-modalidade-enem-unicamp-inscricoes-serao-realizadas-de-3-a-30-de-novembro/;;2;2;10;2;3.64;9;
3;UFRJ;Federal;RJ;SISU;;;;;;;;;;;4;5;4;1;3.86;4;
4;UFMG;Federal;MG;;;;;;;;;;;;1;7;2;5;3.53;11;
5;UFRGS;Federal;RS;;;;;;;;;;;;3;3;12;14;3.3;10;
6;UNESP;Estadual;SP;08/09/2021;07/10/2021;31/08/2021;07/09/2021;14/11/2021;;19/12/2021;;27/01/2022;https://drive.google.com/file/d/1W3Ntu8ZTOTidQbIgxIDn5os94yvRwbgf/view;;14;6;7;26;2.92;18;
7;UFSC;Federal;SC;18/10/2021;19/11/2021;18/10/2021;29/10/2021;29/01/2022;;;;;https://vestibular2022.ufsc.br/agenda2/;;8;8;25;16;3.21;8;
8;UFPR;Federal;PR;17/08/2021 ;15/09/2021;18/08/2021;22/09/2021;16/11/2021;;07/12/2021;;;https://www.ufpr.br/portalufpr/noticias/vestibular-ja-tem-7-mil-inscricoes-prazo-para-isencao-acaba-sexta-feira/#:~:text=Os%20candidatos%20que%20comprovarem%20n%C3%A3o,nc.ufpr.br%5D.;;9;12;12;3;3.6;29;
9;UNB;Federal;DF;SISU;;;;;;;;;;;6;11;23;24;2.98;13;
10;UFPE;Federal;PE;SISU;;;;;;;;;;;12;17;7;13;3.33;23;
11;UFC;Federal;CE;SISU;;;;;;;;;;;18;10;12;28;2.91;7;
12;UFSCAR;Federal;SP;SISU;;;;;;;;;;;7;9;49;30;2.88;16;
13;UERJ;Estadual;RJ;09/11/2021;18/11/2021;28/09/2021;30/09/2021;ENEM;;;;;https://www.vestibular.uerj.br/anexos/anexo_1_vr.pdf;;25;13;10;33;2.81;12;
14;UFBA;Federal;BA;SISU;;;;;;;;;;;19;24;12;15;3.23;21;
15;UFV;Federal;MG;03/11/2021;30/11/2021;03/11/2021;19/11/2021;11/12/2021;;;;20/12/2021;https://www.pse.caf.ufv.br/wp-content/uploads/CALEND%C3%81RIO-GERAL-2022.pdf;;11;14;56;4;3.54;49;
16;UNIFESP;Federal;SP;18/10/2021;03/11/2021;23/08/2021;03/09/2021;20/01/2022;;;;01/02/2022;https://ingresso.unifesp.br/noticias/misto/sistema-misto-de-selecao-2022-cronograma-previsto;;10;4;88;28;2.91;15;ExtratorUnifesp
17;UFF;Federal;RJ;SISU;;;;;;;;;;;13;27;17;22;3.01;28;
18;PUCRS;Privada;RS;22/10/2021;24/11/2021;;;05/12/2021;;;;;https://www.pucrs.br/estudenapucrs/wp-content/uploads/sites/236/2021/11/2021_11_08-prograd-estude_na_pucrs-manual_do_candidato-demais_cursos-vestibular_de_verao_2022.pdf;;32;19;17;9;3.4;14;
19;PUC RIO;Privada;RJ;16/08/2021;26/09/2021;;;24/10/2021;;;;16/11/2021;https://www.puc-rio.br/vestibular/202112/pdf/MANUAL%20DO%20CANDIDATO%20VESTIBULAR%202022.pdf;;34;19;25;10;3.37;5;
20;UFG;Federal;GO;SISU;;;;;;;;;;;20;29;17;25;2.95;50;
21;UFSM ;Federal;RS;15/09/2021;21/10/2021;15/09/2021;22/09/2021;05/12/2021;;;;;https://www.pse.caf.ufv.br/wp-content/uploads/CALEND%C3%81RIO-GERAL-2022.pdf;;15;18;56;39;2.6;45;
22;UFRN;Federal;RN;SISU;;;;;;;;;;;27;25;29;54;2.3;18;
23;UEL;Estadual;PA;04/10/2021;15/10/2021;16/08/2021;20/08/2021;15/11/2021;;05/12/2021;;19/04/2022;http://www.uece.br/cev/index.php/vestibular-20221;;22;28;29;38;2.62;50;
24;UEM;Estadual;PA;01/09/2021;08/11/2021;05/08/2021;30/09/2021;20/02/2022;;;;20/04/2022;https://www.npd.uem.br/cvu/relatorios/27/Ed21_026r2x.pdf;;21;26;41;61;2.23;55;
25;UFU;Federal;MG;06/11/2021;08/07/2021;11/06/2021;25/06/2021;21/08/2021;;;;19/11/2021;https://www.portalselecao.ufu.br/servicos/arquivo_administrativo/download/7b72de504960bfce0e38c14bdfeda3f1;;17;33;49;36;2.7;72;
26;UFJF;Federal;MG;27/09/2021;18/10/2021;27/09/2021;03/10/2021;05/02/2022;;;;31/03/2022;https://www2.ufjf.br/copese/wp-content/uploads/sites/42/2021/09/Edital-09-2021_PISM-2022.pdf;;29;22;67;54;2.3;6;
27;UFES;Federal;ES;;;;;;;;;;;;43;31;29;12;3.34;35;
28;UFLA;Federal;MG;SISU;;;;;;;;;;;16;23;104;21;3.08;58;
29;UFPA;Federal;PA;08/11/2021;16/11/2021;08/11/2021;16/11/2021;05/12/2021;;;;29/12/2021;https://www.ceps.ufpa.br/images/conteudo/pse/pseUfpa2022-2/editais%20avisos/Edital_PSE-2022-2_FORMA_PA-abertura.pdf;;44;34;25;17;3.17;32;
30;PUCPR;Privada;PR;01/09/2021;08/10/2021;;;17/10/2021;;;;;;;46;44;17;8;3.45;22;
31;UFPB;Federal;PB;14/09/2021;15/10/2021;14/09/2021;15/09/2021;31/10/2021;;;;10/12/2021;https://cdn.coreme.selecao.site/edital/1/3/0e70e7e6ea80cbbf3cb47ea54964a089.pdf;;33;36;41;59;2.27;67;
32;UFPel;Federal;RS;SISU;;;;;;;;;;;24;15;138;41;2.57;31;
33;UFMT;Federal;MT;;;;;;;;;;;;39;43;33;93;1.69;71;
34;Mackenzie;Privada;SP;;;;;;;;;;;;36;68;4;43;2.53;47;
35;Universidade Federal Rural do Rio de Janeiro;Federal;RJ;ENEM;;;;;;;;;;;26;39;88;52;2.32;82;
36;Universidade do Vale do Rio dos Sinos;Privada;RS;ENEM;;;;;;;;;;;47;57;17;62;2.22;79;
37;Universidade Federal de Sergipe;Federal;SE;ENEM;;;;;;;;;;;67;38;49;34;2.72;52;
38;Fundação Universidade Federal do Abc;Federal;SP;ENEM;;;;;;;;;;;30;16;176;69;2.14;1;
39;Universidade Federal de Ouro Preto;Federal;MG;ENEM;;;;;;;;;;;38;32;124;26;2.92;32;
40;Fundação Universidade do Estado de Santa Catarina;Estadual;SC;ENEM;;;;;;;;;;;40;47;67;70;2.13;96;
41;Universidade Federal de Mato Grosso do Sul;Federal;MS;03/09/2021;08/11/2021;;;05/12/2021;;;;;https://ingresso.ufms.br/formas-de-ingresso/vestibular/;;51;51;56;41;2.57;87;
42;Universidade de Caxias do Sul;Privada;RS;ENEM;;;;;;;;;;;52;65;41;6;3.51;66;
43;Universidade Estadual do Norte Fluminense Darcy Ribeiro;Estadual;RJ;ENEM;;;;;;;;;;;41;21;176;19;3.12;55;
44;Universidade Federal de Campina Grande;Federal;PB;ENEM;;;;;;;;;;;45;52;78;60;2.25;112;
45;Universidade Federal de Alagoas;Federal;AL;ENEM;;;;;;;;;;;83;46;41;73;2;38;
46;Universidade Federal do Triângulo Mineiro;Federal;MG;ENEM;;;;;;;;;;;28;41;153;117;1.31;73;
47;Universidade Tecnológica Federal do Paraná;Federal;PR;ENEM;;;;;;;;;;;31;64;104;23;2.99;98;
48;Universidade Estadual de Ponta Grossa;Estadual;PR;01/07/2021;29/07/2021;;;26/09/2021;;;;25/10/2021;https://cps.uepg.br/inicio/index.php/vestibular/vestibular-primavera;;74;40;88;44;2.51;70;ExtratorUepg
49;Pontifícia Universidade Católica de Minas Gerais;Privada;MG;13/09/2021;27/10/2021;;;07/11/2021;;;;26/11/2021;https://www.pucminas.br/vestibular/Paginas/ProcessoSeletivo.aspx;;50;99;6;20;3.11;116;
50;Universidade Federal de São João Del Rei;Federal;MG;ENEM;;;;;;;;;;;55;30;153;53;2.31;3;
51;Universidade Federal do Maranhão;Federal;MA;ENEM;;;;;;;;;;;65;58;56;54;2.3;89;
52;Universidade Federal do Piauí;Federal;PI;ENEM;;;;;;;;;;;73;63;33;87;1.83;117;
53;Universidade Federal de Itajubá;Federal;MG;Cancelado;;;;;;;;;https://unifei.edu.br/processos-seletivos/vestibular/vestibular-2021/;;35;45;169;11;3.35;40;
54;Universidade Federal do Rio Grande;Federal;RS;ENEM;;;;;;;;;;;49;37;153;111;1.49;41;
55;Universidade Estadual do Ceará;Estadual;CE;04/10/2021;15/10/2021;;;15/11/2021;;05/12/2021;06/12/2021;;http://www.uece.br/noticias/uece-abre-inscricoes-para-o-primeiro-vestibular-de-2022/;;85;56;49;80;1.9;48;
56;Pontifícia Universidade Católica de São Paulo;Privada;SP;11/10/2021;23/11/2021;;;05/12/2021;;;;15/12/2021;https://nucvest.com.br/pucsp/vestibular/2022/index.html;;23;116;7;159;0.59;169;ExtratorNucvest
57;Universidade Católica de Brasília;Privada;DF;29/09/2021;04/04/2021;;;23/01/2022;;;;;https://ucb.catolica.edu.br/portal/wp-content/uploads/2021/10/EDITAL-UCB-051.2021-Processo-Seletivo-VESTIBULAR-ENEM-TRANSFERENCIA-EXTERNA-E-GRADUADOS-4.pdf;;100;53;49;50;2.4;17;
58;Universidade Estadual de Feira de Santana;Estadual;BA;ENEM;;;;;;;;;;;58;49;104;103;1.57;34;
59;Universidade Estadual de Santa Cruz;Estadual;BA;ENEM;;;;;;;;;;;59;50;104;58;2.28;46;
60;Universidade Federal do Amazonas;Federal;AM;Horrivel;;;;;;;;;;;84;62;56;44;2.51;80;
61;Fundação Universidade Federal de Ciências da Saúde de Porto Alegre;Federal;RS;ENEM;;;;;;;;;;;37;35;189;146;0.9;54;
62;Universidade Estadual do Oeste do Paraná;Estadual;PR;;;;;;;;;;;;60;61;88;32;2.82;128;
63;Universidade de Fortaleza;Privada;CE;ENEM;;;;;;;;;;;71;85;17;104;1.55;78;
64;Universidade Federal Rural de Pernambuco;Federal;PE;ENEM;;;;;;;;;;;72;42;138;48;2.44;91;
65;Universidade Federal do Estado do Rio de Janeiro;Federal;RJ;ENEM no 2022 yet;;;;;;;;;;;42;59;138;113;1.43;73;
66;Pontifícia Universidade Católica de Campinas;Privada;SP;27/08/2021;03/11/2021;;;12/11/2021;;;;29/11/2021;https://educacional.puc-campinas.edu.br/processo-seletivo/home?codConcurso=22022101;;56;94;25;94;1.68;132;
67;Universidade Nove de Julho;Privada;SP;ENEM / EAD;;;;;;;;;;;61;83;33;136;1.02;122;
68;Universidade Federal de Alfenas;Federal;MG;;;;;;;;;;;não possui vestibular proprio;54;54;153;100;1.64;104;
69;Universidade Feevale;Privada;RS;;;;;;;;;;https://www.feevale.br/institucional/processo-seletivo-a;;62;105;56;101;1.62;130;
70;Universidade de Passo Fundo;Privada;RS;;;;;;;;;;;;81;77;78;51;2.33;102;
71;Universidade de Pernambuco;Estadual;PE;14/06/2021;14/07/2021;14/06/2021;18/06/2021;14/11/2021;;;;28/12/2021;https://processodeingresso.upe.pe.gov.br/;Tipo de Processo: Escolas de aplicação. Existem outras modalidades no site;143;55;49;78;1.92;27;
72;Universidade de Franca;Privada;SP;;;;;20/11/2021;;;;21/11/2021;https://www.unifran.edu.br/processo-seletivo/graduacao-presencial/?utm_source=google-search&utm_medium=responsivo_generica-vestibular&utm_campaign=consideracao&utm_content=graduacao_2022-1&utm_term=vestibular-em-casa&gclid=Cj0KCQiA-K2MBhC-ARIsAMtLKRtNyoGsTQh2bq5tMbNFLXid16f9ZV_nsOWn8Q2E9bMRY2sj568iUesaAlDmEALw_wcB;Essas são data da Prova Tradicional, mas exitem outras formas de ingresso. Não encontramos informaçõe ssobre período de incrição. Acesse o site para saber mais.;88;86;56;104;1.55;112;
73;Universidade Católica de Pelotas;Privada;RS;19/10/2021;30/10/2012;;;;;;;07/12/2021;https://ucpel.edu.br/editais;As provas serão remotas e agendadas. Quanto aos cursos de Medicina e Odontoligia, o período de incrição ´se encerra em 24 de novembro e a prova ocorre 5 de dezembro.;87;48;153;173;0.11;25;
74;Universidade do Vale do Itajaí;Privada;SC;;;;;;;;;03/12/2021;https://acafe.org.br/site/;Ingresso pela vestibular acafe;53;114;78;118;1.3;89;ExtratorAcafe
75;Universidade Regional de Blumenau;Municipal;SC;;;;;;;;;01/12/2021;https://acafe.org.br/site/;Ingresso pela vestibular acafe;89;97;67;40;2.58;128;ExtratorAcafe
76;Fundação Universidade Federal da Grande Dourados;Federal;MS;16/11/2021;14/01/2021;;;20/03/2022;;;;13/05/2022;https://portal.ufgd.edu.br/vestibular/processo-seletivo-vestibular-psv/psv-2022;;63;67;153;112;1.45;141;
77;Universidade Paulista;Privada;SP;;;;;;;;;20/09/2021;https://www.unip.br/regulamentos/;"Existem diversas opções para a data da realização das provas, um número de fases variável e as incrições podem ser feitas até 24h antes da realização da prova; dessa forma, leia o edital para melhores informaçãoes.";66;138;2;148;0.89;137;
